Wall time,Step,Reward,Episode_Length
1699433177,4124672,720.7127075,466.6799927
1699433185,4128768,724.0018311,465.2999878
1699433194,4132864,716.8220825,469.1600037
1699433216,4143104,725.0076294,475.0499878
1699433228,4149248,732.602356,473.3599854
1699433237,4153344,718.6600342,476.7200012
1699433250,4159488,737.4732666,480.7099915
1699433262,4165632,749.5675659,485.1799927
1699433276,4171776,729.8606567,487.2799988
1699433284,4175872,731.5150146,489.3500061
1699433297,4182016,762.7741089,488.9200134
1699433309,4188160,707.7713623,471.5499878
1699433314,4190208,710.5980835,471.7799988
1699433326,4196352,678.425354,467.019989
1699433379,4220928,716.5012817,475.6499939
1699433387,4225024,717.395874,473.5299988
1699433408,4235264,747.9134521,485.0700073
1699433430,4245504,796.0278931,493.9500122
1699433434,4247552,802.8132935,494.8399963
1699433438,4249600,809.7214355,495.980011
1699433447,4253696,816.9541626,493.0400085
1699433451,4255744,818.1508789,490.730011
1699433460,4259840,828.5330811,488.4500122
1699433469,4263936,814.3144531,486.8299866
1699433482,4270080,807.5716553,481.9299927
1699433486,4272128,806.2232666,484.9200134
1699433503,4280320,784.1386108,483.0100098
1699433525,4290560,795.4157715,491.4500122
1699433533,4294656,770.9777832,486.2099915
1699433563,4308992,751.7132568,486.6499939
1699433572,4313088,750.7387085,484.7999878
1699433576,4315136,743.666626,485.3800049
1699433589,4321280,720.5913086,485.0799866
1699433598,4325376,704.0214233,484.730011
1699433615,4333568,697.3419189,477.5
1699433627,4339712,685.340271,465.5799866
1699433636,4343808,705.0533447,476.3900146
1699433645,4347904,685.4138184,469.7399902
1699433649,4349952,687.6582642,472.1799927
1699433671,4360192,699.0228882,472.4500122
1699433688,4368384,727.6419678,468.5899963
1699433692,4370432,701.1360474,461.4400024
1699433697,4372480,720.2808838,467.2600098
1699433714,4380672,720.3684692,468.0400085
1699433718,4382720,706.4401245,466.230011
1699433726,4386816,733.585144,473.7399902
1699433739,4392960,748.1955566,475.2600098
1699433743,4395008,752.2630005,475.0400085
1699433748,4397056,764.8768921,475.0400085
1699433757,4401152,780.8508301,477.230011
1699433761,4403200,789.3179932,478.3099976
1699433769,4407296,783.8783569,471.6600037
1699433791,4417536,736.8405762,459.1300049
1699433795,4419584,742.3522339,459.1300049
1699433821,4431872,794.1239624,467.6199951
1699433825,4433920,804.0550537,470.1799927
1699433829,4435968,779.9919434,465.3999939
1699433847,4444160,796.567688,465.1900024
1699433855,4448256,784.5797119,461.0100098
1699433864,4452352,804.6087036,469.1099854
1699433882,4460544,848.6986084,482.2099915
1699433925,4481024,839.7678833,480
1699433933,4485120,884.0949097,486.6900024
1699433942,4489216,889.3491821,485
1699433947,4491264,887.8594971,485
1699433963,4499456,911.4013672,488.2399902
1699433972,4503552,918.7230225,491.3900146
1699433976,4505600,914.6262207,489.0400085
1699433980,4507648,902.272644,488.9100037
1699434011,4521984,929.4334717,492.5499878
1699434029,4530176,926.3718872,486.2200012
1699434041,4536320,883.0471802,487.769989
1699434084,4556800,906.0587158,487.6199951
1699434089,4558848,899.5455933,487.6199951
1699434106,4567040,915.1394653,488.8699951
1699434115,4571136,928.9129639,492.7399902
1699434128,4577280,931.2778931,494.1600037
1699434137,4581376,934.6033936,490
1699434141,4583424,945.6192017,491.2900085
1699434150,4587520,947.3629761,488.7000122
1699434154,4589568,940.9057007,485.4200134
1699434159,4591616,947.1216431,488.8900146
1699434163,4593664,949.4301758,488.9100037
1699434171,4597760,931.8104858,484.0700073
1699434180,4601856,952.9623413,488.5799866
1699434184,4603904,939.4949951,488.8699951
1699434202,4612096,924.7286987,488.4400024
1699434206,4614144,922.4286499,488.4400024
1699434214,4618240,928.5562134,487.8500061
1699434227,4624384,947.5825806,493.1499939
1699434249,4634624,968.5241699,495
1699434300,4659200,948.9524536,484.4899902
1699434318,4667392,931.602356,485.5499878
1699434331,4673536,915.8028564,482.1000061
1699434361,4687872,917.0563354,482.3200073
1699434374,4694016,912.4118652,484.4100037
1699434400,4706304,907.0289917,487.3599854
1699434404,4708352,907.7753906,490
1699434414,4712448,916.6072998,489.6199951
1699434426,4718592,910.0384521,490.3500061
1699434439,4724736,910.3718872,490.3599854
1699434444,4726784,899.9541016,490.3599854
1699434448,4728832,903.1958008,494.0899963
1699434487,4747264,928.6401367,497.1499939
1699434491,4749312,920.8574829,495.8900146
1699434496,4751360,915.7469482,493.9500122
1699434500,4753408,934.6749268,496.5100098
1699434508,4757504,951.2466431,499.3500061
1699434517,4761600,947.6888428,500.9899902
1699434530,4767744,957.8234863,500.6199951
1699434561,4782080,965.5548096,500
1699434565,4784128,965.2487183,500
1699434570,4786176,954.9716187,497.0799866
1699434574,4788224,959.8716431,497.8800049
1699434609,4804608,935.2584839,493.2999878
1699434648,4823040,952.6624146,494.8099976
1699434669,4833280,948.7984009,494.75
1699434704,4849664,1014.147583,502.3900146
1699434709,4851712,1010.696106,501.6099854
1699434721,4857856,1000.229065,498.730011
1699434769,4880384,949.9015503,477.0599976
1699434782,4886528,944.3711548,479.4599915
1699434795,4892672,932.4546509,478.8599854
